season,gw,element,name,position,team,team_id,opponent_team,was_home,kickoff_time,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,starts,value
2022-23,1,1,Cédric Alves Soares,DEF,Arsenal,1,7,0,2022-08-05T19:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45
2022-23,1,2,Bernd Leno,GK,Fulham,9,12,1,2022-08-06T11:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45
2022-23,1,3,Granit Xhaka,MID,Arsenal,1,7,0,2022-08-05T19:00:00Z,90,2,0,0,1,0,0,12,16.6,15.0,2.0,3.4,0.0,0.0,0.0,0.0,0,50
2022-23,1,4,Mohamed Elneny,MID,Arsenal,1,7,0,2022-08-05T19:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45
2022-23,1,5,Rob Holding,DEF,Arsenal,1,7,0,2022-08-05T19:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45
2022-23,1,6,Thomas Partey,MID,Arsenal,1,7,0,2022-08-05T19:00:00Z,90,3,0,0,1,0,0,17,22.6,12.9,10.0,4.6,0.0,0.0,0.0,0.0,0,50
2022-23,1,7,Martin Ødegaard,MID,Arsenal,1,7,0,2022-08-05T19:00:00Z,90,3,0,0,1,0,0,9,3.4,8.3,23.0,3.5,0.0,0.0,0.0,0.0,0,65
2022-23,1,8,Kieran Tierney,DEF,Arsenal,1,7,0,2022-08-05T19:00:00Z,7,1,0,0,0,0,0,3,6.0,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0,50
2022-23,1,9,Nicolas Pépé,MID,Arsenal,1,7,0,2022-08-05T19:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,55
2022-23,1,10,Benjamin White,DEF,Arsenal,1,7,0,2022-08-05T19:00:00Z,90,5,0,0,1,0,0,25,31.4,12.0,0.0,4.3,0.0,0.0,0.0,0.0,0,45
2022-23,1,11,Eddie Nketiah,FWD,Arsenal,1,7,0,2022-08-05T19:00:00Z,7,1,0,0,0,0,0,4,2.2,10.3,0.0,1.3,0.0,0.0,0.0,0.0,0,70
2022-23,1,12,Emile Smith Rowe,MID,Arsenal,1,7,0,2022-08-05T19:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60
2022-23,1,13,Bukayo Saka,MID,Arsenal,1,7,0,2022-08-05T19:00:00Z,90,6,0,1,1,0,0,10,1.8,7.6,36.0,4.5,0.0,0.0,0.0,0.0,0,80
2022-23,1,14,Takehiro Tomiyasu,DEF,Arsenal,1,7,0,2022-08-05T19:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45
2022-23,1,15,Aaron Ramsdale,GK,Arsenal,1,7,0,2022-08-05T19:00:00Z,90,6,0,0,1,0,0,25,19.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0,50
2022-23,1,16,Gabriel dos Santos Magalhães,DEF,Arsenal,1,7,0,2022-08-05T19:00:00Z,90,7,0,0,1,0,1,26,24.2,0.6,2.0,2.7,0.0,0.0,0.0,0.0,0,50
2022-23,1,17,Nuno Varela Tavares,DEF,Arsenal,1,7,0,2022-08-05T19:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45
2022-23,1,18,Albert Sambi Lokonga,MID,Arsenal,1,7,0,2022-08-05T19:00:00Z,1,1,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45
2022-23,1,19,Gabriel Martinelli Silva,MID,Arsenal,1,7,0,2022-08-05T19:00:00Z,90,8,1,0,1,0,0,23,38.2,15.2,39.0,9.2,0.0,0.0,0.0,0.0,0,60
2022-23,1,20,Pablo Marí Villar,DEF,Arsenal,1,7,0,2022-08-05T19:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45
2022-23,1,21,Ainsley Maitland-Niles,MID,Arsenal,1,7,0,2022-08-05T19:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50
2022-23,1,22,Lucas Torreira di Pascua,MID,Arsenal,1,7,0,2022-08-05T19:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45
2022-23,1,23,Reiss Nelson,MID,Arsenal,1,7,0,2022-08-05T19:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50
2022-23,1,24,Matt Turner,GK,Arsenal,1,7,0,2022-08-05T19:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40
2022-23,1,25,Fábio Ferreira Vieira,MID,Arsenal,1,7,0,2022-08-05T19:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60
2022-23,1,26,William Saliba,DEF,Arsenal,1,7,0,2022-08-05T19:00:00Z,90,8,0,0,1,0,2,30,22.2,0.1,0.0,2.2,0.0,0.0,0.0,0.0,0,45
2022-23,1,27,Marcus Oliveira Alencar,MID,Arsenal,1,7,0,2022-08-05T19:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50
2022-23,1,28,Gabriel Fernando de Jesus,FWD,Arsenal,1,7,0,2022-08-05T19:00:00Z,82,2,0,0,1,0,0,7,7.4,3.2,38.0,4.9,0.0,0.0,0.0,0.0,0,80
2022-23,1,29,Philippe Coutinho Correia,MID,Aston Villa,2,3,0,2022-08-06T14:00:00Z,81,2,0,0,0,2,0,7,3.0,19.9,21.0,4.4,0.0,0.0,0.0,0.0,0,70
2022-23,1,30,Danny Ings,FWD,Aston Villa,2,3,0,2022-08-06T14:00:00Z,65,1,0,0,0,1,0,0,1.0,12.5,33.0,4.7,0.0,0.0,0.0,0.0,0,70
2022-23,1,31,Emiliano Martínez Romero,GK,Aston Villa,2,3,0,2022-08-06T14:00:00Z,90,1,0,0,0,2,0,10,9.2,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0,50
2022-23,1,32,Calum Chambers,DEF,Aston Villa,2,3,0,2022-08-06T14:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45
2022-23,1,33,Lucas Digne,DEF,Aston Villa,2,3,0,2022-08-06T14:00:00Z,90,1,0,0,0,2,0,11,13.2,22.4,8.0,4.4,0.0,0.0,0.0,0.0,0,50
2022-23,1,34,Bertrand Traoré,MID,Aston Villa,2,3,0,2022-08-06T14:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50
2022-23,1,35,Robin Olsen,GK,Aston Villa,2,3,0,2022-08-06T14:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40
2022-23,1,36,Morgan Sanson,MID,Aston Villa,2,3,0,2022-08-06T14:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45
2022-23,1,37,John McGinn,MID,Aston Villa,2,3,0,2022-08-06T14:00:00Z,90,2,0,0,0,2,0,16,9.6,4.0,17.0,3.1,0.0,0.0,0.0,0.0,0,55
2022-23,1,38,Kortney Hause,DEF,Aston Villa,2,3,0,2022-08-06T14:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45
2022-23,1,39,Tyrone Mings,DEF,Aston Villa,2,3,0,2022-08-06T14:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45
2022-23,1,40,Ollie Watkins,FWD,Aston Villa,2,3,0,2022-08-06T14:00:00Z,24,1,0,0,0,1,0,3,2.0,11.8,2.0,1.6,0.0,0.0,0.0,0.0,0,75
2022-23,1,41,Marvelous Nakamba,MID,Aston Villa,2,3,0,2022-08-06T14:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45
2022-23,1,42,Emiliano Buendía Stati,MID,Aston Villa,2,3,0,2022-08-06T14:00:00Z,45,1,0,0,0,1,0,8,4.8,15.8,2.0,2.3,0.0,0.0,0.0,0.0,0,60
2022-23,1,43,Matty Cash,DEF,Aston Villa,2,3,0,2022-08-06T14:00:00Z,90,1,0,0,0,2,0,15,13.2,11.0,10.0,3.4,0.0,0.0,0.0,0.0,0,50
2022-23,1,44,Ezri Konsa Ngoyo,DEF,Aston Villa,2,3,0,2022-08-06T14:00:00Z,90,1,0,0,0,2,0,16,20.8,1.3,0.0,2.2,0.0,0.0,0.0,0.0,0,45
2022-23,1,45,Leon Bailey,MID,Aston Villa,2,3,0,2022-08-06T14:00:00Z,90,2,0,0,0,2,0,8,12.8,31.9,22.0,6.7,0.0,0.0,0.0,0.0,0,50
2022-23,1,46,Douglas Luiz Soares de Paulo,MID,Aston Villa,2,3,0,2022-08-06T14:00:00Z,8,0,0,0,0,0,0,-1,0.0,2.3,8.0,1.0,0.0,0.0,0.0,0.0,0,50
