season,gw,fixture,element,name,position,team,team_id,opponent_team,was_home,kickoff_time,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,starts,value
2023-24,18,174,1,Folarin Balogun,FWD,Arsenal,1,11,0,2023-12-23T17:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44
2023-24,18,174,2,Cédric Alves Soares,DEF,Arsenal,1,11,0,2023-12-23T17:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,39
2023-24,18,174,3,Mohamed Elneny,MID,Arsenal,1,11,0,2023-12-23T17:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44
2023-24,18,174,4,Fábio Ferreira Vieira,MID,Arsenal,1,11,0,2023-12-23T17:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,54
2023-24,18,174,5,Gabriel dos Santos Magalhães,DEF,Arsenal,1,11,0,2023-12-23T17:30:00Z,90,10,1,0,0,1,2,25,56.0,0.2,17.0,7.3,0.12,0.0,0.12,0.95,1,49
2023-24,18,174,6,Kai Havertz,MID,Arsenal,1,11,0,2023-12-23T17:30:00Z,90,1,0,0,0,1,0,2,2.2,5.3,8.0,1.6,0.02,0.02,0.04,0.95,1,71
2023-24,18,172,7,Rob Holding,DEF,Crystal Palace,8,5,1,2023-12-21T20:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,43
2023-24,18,174,8,Gabriel Fernando de Jesus,FWD,Arsenal,1,11,0,2023-12-23T17:30:00Z,77,2,0,0,0,1,0,1,3.6,6.3,48.0,5.8,0.33,0.15,0.48,0.95,1,80
2023-24,18,174,9,Jorge Luiz Frello Filho,MID,Arsenal,1,11,0,2023-12-23T17:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,53
2023-24,18,174,10,Jakub Kiwior,DEF,Arsenal,1,11,0,2023-12-23T17:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,43
2023-24,18,174,11,Marcus Oliveira Alencar,MID,Arsenal,1,11,0,2023-12-23T17:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45
2023-24,18,174,12,Gabriel Martinelli Silva,MID,Arsenal,1,11,0,2023-12-23T17:30:00Z,67,2,0,0,0,1,0,3,2.8,11.4,10.0,2.4,0.14,0.03,0.17,0.44,1,77
2023-24,18,174,13,Eddie Nketiah,FWD,Arsenal,1,11,0,2023-12-23T17:30:00Z,12,0,0,0,0,0,0,-2,2.2,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0,54
2023-24,18,174,14,Martin Ødegaard,MID,Arsenal,1,11,0,2023-12-23T17:30:00Z,90,8,0,1,0,1,3,26,40.0,38.2,8.0,8.6,0.06,0.16,0.22,0.95,1,84
2023-24,18,174,15,Thomas Partey,MID,Arsenal,1,11,0,2023-12-23T17:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,48
2023-24,18,174,16,Nicolas Pépé,MID,Arsenal,1,11,0,2023-12-23T17:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,49
2023-24,18,174,17,Aaron Ramsdale,GK,Arsenal,1,11,0,2023-12-23T17:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,46
2023-24,18,174,18,Rúnar Alex Rúnarsson,GK,Arsenal,1,11,0,2023-12-23T17:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40
2023-24,18,174,19,Bukayo Saka,MID,Arsenal,1,11,0,2023-12-23T17:30:00Z,90,1,0,0,0,1,0,3,11.6,37.6,19.0,6.8,0.04,0.08,0.12,0.95,1,90
2023-24,18,174,20,William Saliba,DEF,Arsenal,1,11,0,2023-12-23T17:30:00Z,90,2,0,0,0,1,0,15,19.6,0.6,0.0,2.0,0.0,0.0,0.0,0.95,1,55
2023-24,18,175,21,Albert Sambi Lokonga,MID,Luton,12,15,1,2023-12-23T15:00:00Z,79,3,0,0,1,0,0,9,6.8,3.3,0.0,1.0,0.0,0.03,0.03,1.28,1,49
2023-24,18,174,22,Emile Smith Rowe,MID,Arsenal,1,11,0,2023-12-23T17:30:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,53
