season,gw,element,name,position,team,team_id,opponent_team,was_home,kickoff_time,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,starts,value
2023-24,10,1,Folarin Balogun,FWD,Arsenal,1,17,1,2023-10-28T14:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44
2023-24,10,2,Cédric Alves Soares,DEF,Arsenal,1,17,1,2023-10-28T14:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,39
2023-24,10,3,Mohamed Elneny,MID,Arsenal,1,17,1,2023-10-28T14:00:00Z,1,4,0,1,0,0,0,12,1.8,0.5,2.0,0.4,0.0,0.0,0.0,0.0,0,44
2023-24,10,4,Fábio Ferreira Vieira,MID,Arsenal,1,17,1,2023-10-28T14:00:00Z,17,6,1,0,0,0,0,22,33.4,5.6,19.0,5.8,0.79,0.02,0.81,0.0,0,54
2023-24,10,5,Gabriel dos Santos Magalhães,DEF,Arsenal,1,17,1,2023-10-28T14:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,47
2023-24,10,6,Kai Havertz,MID,Arsenal,1,17,1,2023-10-28T14:00:00Z,90,3,0,0,1,0,0,7,4.2,16.3,9.0,3.0,0.28,0.04,0.32,0.03,1,71
2023-24,10,7,Rob Holding,DEF,Crystal Palace,8,18,1,2023-10-27T19:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44
2023-24,10,8,Gabriel Fernando de Jesus,FWD,Arsenal,1,17,1,2023-10-28T14:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,79
2023-24,10,9,Jorge Luiz Frello Filho,MID,Arsenal,1,17,1,2023-10-28T14:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,53
2023-24,10,10,Jakub Kiwior,DEF,Arsenal,1,17,1,2023-10-28T14:00:00Z,90,6,0,0,1,0,0,25,13.0,1.5,2.0,1.7,0.0,0.02,0.02,0.03,1,43
