season,gw,element,name,position,team,team_id,opponent_team,was_home,kickoff_time,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,starts,value
2023-24,3,1,Folarin Balogun,FWD,Arsenal,1,10,1,2023-08-26T14:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45
2023-24,3,2,Cédric Alves Soares,DEF,Arsenal,1,10,1,2023-08-26T14:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40
2023-24,3,3,Mohamed Elneny,MID,Arsenal,1,10,1,2023-08-26T14:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44
2023-24,3,4,Fábio Ferreira Vieira,MID,Arsenal,1,10,1,2023-08-26T14:00:00Z,34,7,0,2,0,1,0,22,23.0,15.3,25.0,6.3,0.04,0.22,0.26,0.25,0,54
2023-24,3,5,Gabriel dos Santos Magalhães,DEF,Arsenal,1,10,1,2023-08-26T14:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,49
2023-24,3,6,Kai Havertz,MID,Arsenal,1,10,1,2023-08-26T14:00:00Z,55,1,0,0,0,1,0,2,5.4,23.6,13.0,4.2,0.27,0.14,0.41,0.29,1,74
2023-24,3,7,Rob Holding,DEF,Arsenal,1,10,1,2023-08-26T14:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45
2023-24,3,8,Gabriel Fernando de Jesus,FWD,Arsenal,1,10,1,2023-08-26T14:00:00Z,1,1,0,0,0,0,0,1,3.0,0.3,35.0,3.8,0.14,0.01,0.15,0.12,0,79
2023-24,3,9,Jorge Luiz Frello Filho,MID,Arsenal,1,10,1,2023-08-26T14:00:00Z,6,1,0,0,0,1,0,4,4.2,6.7,0.0,1.1,0.0,0.03,0.03,0.25,0,55
2023-24,3,10,Jakub Kiwior,DEF,Arsenal,1,10,1,2023-08-26T14:00:00Z,90,1,0,0,0,2,0,11,16.0,4.7,14.0,3.5,0.32,0.03,0.35,0.53,1,44
2023-24,3,11,Marcus Oliveira Alencar,MID,Arsenal,1,10,1,2023-08-26T14:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45
2023-24,3,12,Gabriel Martinelli Silva,MID,Arsenal,1,10,1,2023-08-26T14:00:00Z,90,2,0,0,0,2,0,12,12.2,8.3,75.0,9.6,0.54,0.11,0.65,0.53,1,80
2023-24,3,13,Eddie Nketiah,FWD,Arsenal,1,10,1,2023-08-26T14:00:00Z,45,5,1,0,0,1,0,24,28.6,7.1,33.0,6.9,0.43,0.1,0.53,0.25,0,56
2023-24,3,14,Martin Ødegaard,MID,Arsenal,1,10,1,2023-08-26T14:00:00Z,83,2,0,0,0,1,0,10,11.8,12.4,24.0,4.8,0.11,0.14,0.25,0.29,1,85
2023-24,3,15,Thomas Partey,MID,Arsenal,1,10,1,2023-08-26T14:00:00Z,55,1,0,0,0,1,0,16,11.0,6.5,0.0,1.8,0.0,0.08,0.08,0.29,1,50
2023-24,3,16,Nicolas Pépé,MID,Arsenal,1,10,1,2023-08-26T14:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,49
2023-24,3,17,Aaron Ramsdale,GK,Arsenal,1,10,1,2023-08-26T14:00:00Z,90,1,0,0,0,2,0,10,12.2,0.0,0.0,1.2,0.0,0.0,0.0,0.53,1,50
2023-24,3,18,Rúnar Alex Rúnarsson,GK,Arsenal,1,10,1,2023-08-26T14:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40
2023-24,3,19,Bukayo Saka,MID,Arsenal,1,10,1,2023-08-26T14:00:00Z,90,8,1,0,0,2,1,26,51.0,63.2,65.0,17.9,1.36,1.08,2.44,0.53,1,86
2023-24,3,20,William Saliba,DEF,Arsenal,1,10,1,2023-08-26T14:00:00Z,90,1,0,0,0,2,0,14,17.6,14.5,7.0,3.9,0.04,0.03,0.07,0.53,1,52
2023-24,3,21,Albert Sambi Lokonga,MID,Arsenal,1,10,1,2023-08-26T14:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,49
2023-24,3,22,Emile Smith Rowe,MID,Arsenal,1,10,1,2023-08-26T14:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,54
2023-24,3,23,Nuno Varela Tavares,DEF,Arsenal,1,10,1,2023-08-26T14:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40
2023-24,3,24,Kieran Tierney,DEF,Arsenal,1,10,1,2023-08-26T14:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44
2023-24,3,25,Takehiro Tomiyasu,DEF,Arsenal,1,10,1,2023-08-26T14:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45
2023-24,3,26,Leandro Trossard,MID,Arsenal,1,10,1,2023-08-26T14:00:00Z,45,1,0,0,0,1,0,10,9.4,43.9,10.0,6.3,0.0,0.68,0.68,0.29,1,68
2023-24,3,27,Auston Trusty,DEF,Sheffield Utd,17,13,1,2023-08-27T13:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40
2023-24,3,28,Matt Turner,GK,Nott'm Forest,16,14,0,2023-08-26T14:00:00Z,90,3,0,0,0,3,0,23,39.4,0.0,0.0,3.9,0.0,0.0,0.0,2.91,1,40
2023-24,3,29,Benjamin White,DEF,Arsenal,1,10,1,2023-08-26T14:00:00Z,90,1,0,0,0,2,0,18,20.6,32.4,4.0,5.7,0.0,0.1,0.1,0.53,1,55
2023-24,3,30,Granit Xhaka,MID,Arsenal,1,10,1,2023-08-26T14:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60
2023-24,3,31,Oleksandr Zinchenko,DEF,Arsenal,1,10,1,2023-08-26T14:00:00Z,34,1,0,0,0,1,0,11,7.2,23.4,4.0,3.5,0.0,0.03,0.03,0.25,0,49
2023-24,3,32,Alexandre Moreno Lopera,DEF,Aston Villa,2,6,0,2023-08-27T13:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50
2023-24,3,33,Cameron Archer,FWD,Aston Villa,2,6,0,2023-08-27T13:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45
2023-24,3,34,Leon Bailey,MID,Aston Villa,2,6,0,2023-08-27T13:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,55
2023-24,3,35,Emiliano Buendía Stati,MID,Aston Villa,2,6,0,2023-08-27T13:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,59
2023-24,3,36,Matty Cash,DEF,Aston Villa,2,6,0,2023-08-27T13:00:00Z,90,17,2,0,0,1,3,45,80.6,3.7,81.0,16.5,1.35,0.02,1.37,0.73,1,45
2023-24,3,37,Calum Chambers,DEF,Aston Villa,2,6,0,2023-08-27T13:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40
2023-24,3,38,Philippe Coutinho Correia,MID,Aston Villa,2,6,0,2023-08-27T13:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,59
2023-24,3,39,Keinan Davis,FWD,Aston Villa,2,6,0,2023-08-27T13:00:00Z,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50
